Question asked,Answer,Feedback,,,Bot link : ,https://prudhvi1709.github.io/iitmdocs/
I have Taken Double Drop for JEE and have Enrolled in IIT Madras BS Data Science so what to fill in Highest Education Attained and in Current Details Section?,"Since you have taken a Double Drop for JEE and have enrolled in the IIT Madras BS in Data Science and Applications program, here's how you can fill the details:

Highest Education Attained:
If you have completed your 12th standard (or equivalent) before enrolling in the BS program, you should fill your highest completed education level as 12th Standard (or equivalent).
If you are currently in your 12th or equivalent, you can mention the last completed education level, like 10th Standard, since you haven't completed 12th yet.
Current Details Section:
You should mention your current enrollment as ""Enrolled in BS in Data Science and Applications at IIT Madras"".
You can also specify that you are pursuing an undergraduate level program online with examination centers for quizzes/exams at designated places.
This aligns with the program's eligibility and enrollment information shared in the documents, which accepts learners from any background and allows them to study the BS program online.

If you need to specify a particular academic level, you can mention it as ""Undergraduate program - BS Data Science and Applications"" under current studies.

",Correct,,,,
what is the difference between I grade and I_OP,"The difference between the I grade and I_OP grade is as follows:

I Grade (Incomplete)
Given when the student is absent for the End Term (ET) exam alone but has completed all other assessment components such as quizzes, OPPEs, projects, and weekly assignments.
Student can register to take the ET exam alone in the subsequent term.
OPPE and quizzes will not be scheduled again for the student.
All other marks for the final course score will be carried over from the previous run.
I_OP Grade (Incomplete OPPE)
Given when the student has failed in the OPPE (Online Proctored Programming Exam) but has written the ET exam and crossed the cutoff for the total score (T) as per the course grading policy.
Student can register to do the OPPE alone in the next term.
If the course has one OPPE, that single OPPE will be scheduled; if it has two, both OPPEs will be scheduled.
Student can attempt the OPPE alone.
All other mark components of the final course score from the previous run (ET and quizzes) will be carried over and not scheduled again.
Summary
Grade	When it is given	What to do next	Assessments to be retaken
I	Absent for End Term exam only	Register and take ET exam alone in next term	Only End Term exam
I_OP	Failed OPPE but passed End Term with cutoff	Register and take OPPE alone in next term	OPPE(s) only
You can also choose to repeat the entire course instead of only the pending components in both cases.",Correct,,,,
What are the required documents for fee waivers?,***Policy given***,Correct,,,,
"Can I take Python before completing Computational Thinking

","According to the prerequisite information in the ""Learning paths available.md"" document:

The course Intro to Python requires Computational Thinking (CT) as a prerequisite.
This means you cannot take Intro to Python before completing Computational Thinking. You must complete Computational Thinking first or at least register for it before you can take the Intro to Python course.",Correct,,,,
"can a working professional apply for direct entry diploma
","Yes, a working professional can apply for direct entry into the Diploma programme. This pathway is primarily aimed at working professionals or learners who already possess the fundamentals taught in Year 1 of the programme and wish to enter the Diploma level directly.

Key points:

Eligibility: Students who have completed 2 years in any undergraduate degree programme can apply for direct entry into the diploma level by submitting their second-year marksheet or higher as proof.
Admission Process: Candidates need to pass a separate Direct Admission to Diploma (DAD) qualifier exam which is conducted three times a year.
Passing the qualifier allows registration for the Diploma courses.
There is no limit on the number of attempts for the qualifier exam.
Fees apply for the qualifier exam as per category.
For more details, see the ""Direct Entry into Diploma programme"" section in the guidelines.
",Correct,,,,
"How can students raise a complaint through the Grievance Cell?

","The provided documents do not contain information regarding the process for students to raise a complaint through the Grievance Cell.

If you need details about raising a complaint via the Grievance Cell, please let me know if there are other documents you can share, or you may contact the course administration or student support services directly for guidance.",Incorrect,,,,
what about placement support,"Placement support is provided for students in the last term of both diplomas and the degree level. According to the May 2025 term announcements:

There will be 2 career counseling sessions per week.
Students can book a slot in these sessions to discuss their career choices with the instructors.
A form will be circulated before the sessions to schedule personalized interactions based on individual requirements.
This means that students nearing completion of their program receive personalized career guidance and support through these scheduled counseling sessions. Please keep an eye on course announcements for updates regarding these sessions and how to book your slot.",Correct,,,,
"how much credits can be transfered from NPTEL COURSES
","A maximum of 4 credits can be transferred from NPTEL courses under the HS/MG (Humanities/Social Sciences/Management) category at the BS degree level.

For other categories at the BSc or BS levels, NPTEL courses can also be credited, but:

Each NPTEL course can be credited only once and to only one program (not credited twice).
NPTEL courses of different durations correspond to different credit equivalences in the BS program:
4-week course = 1 credit
8-week course = 2 credits
12-week course = 3 credits
Additional points:

The maximum credits that can be transferred from any on-campus or external courses (including apprenticeships and NPTEL) is limited as per program guidelines.
Fee for credit transfer from NPTEL is Rs 1000 per credit.
Summary:

Maximum 4 credits transferable from NPTEL under HS/MG category at BS level.
Other NPTEL courses can be credited based on duration and category, subject to program limits.",Correct,,,,
"What eligibility is required to apply for a direct entry diploma

","To be eligible to apply for Direct Entry into the Diploma programme, the following criteria must be met:

The candidate must have completed 2 years in any undergraduate (UG) degree programme.
The candidate must submit their second year marksheet or higher as proof of having completed 2 years of the UG degree.
This pathway is aimed at working professionals or learners who already possess the fundamentals taught in Year 1 of the programme and want to enter the Diploma level directly.",Correct,,,,
How can I apply for IITM BS Degree Program?,"To apply for the IIT Madras BS in Data Science & Applications degree program, you should follow these general routes based on the available information:

1. Start from Foundation level (Basic pathway)
Anyone interested can start by enrolling in Foundation level courses delivered online.
After completing required foundation courses, you progress through Diploma levels, then BSc level, and finally the BS degree.
The program content is delivered online; quizzes and final exams are conducted in person at designated centers.
2. Direct Entry into Diploma Programme (for those with prior qualifications)
If you have completed 2 years of any undergraduate degree program, you are eligible to apply for direct entry into the Diploma level.
You must take and pass the Direct Admission to Diploma (DAD) qualifier exam.
Passing this exam grants eligibility to join the Diploma program directly.
3. Credit Transfer (if applicable)
If you have completed relevant courses (like NPTEL courses or campus courses at IITM or other institutions) you can apply for credit transfer towards the BS degree.
Credit transfer has specified rules and fees; NPTEL courses must be registered and paid through your official IITM email and credits can be counted once.
How to Apply
Specific application procedures are usually available on IIT Madras official portal for the BS program.
You may need to register on the IITM online education platform or fill out application forms when admissions are open.
For direct admission to the Diploma level, register for the DAD qualifier exam on the scheduled dates.
Follow IITM notifications and announcements for start dates, examination centers, and detailed admission processes.
Summary:
Enroll from the Foundation level and progress to BS degree, or
If you qualify, take the Direct Admission Diploma qualifier exam and enter at the Diploma level.
Utilize credit transfer options if you have completed related courses.
Complete necessary exams and course credits as per the BS degree curriculum.
For more details, you can visit the IIT Madras BS program official website or contact their support team.",Correct,,,,
"Is quiz2 is available for python , in this term?","According to the grading document and course policies, for the ""Intro to python programming"" course (Foundation level course 7), only Quiz 1 is available on July 13, 2025.

There is no Quiz 2 for the Python course in this term.

Thus, Quiz 2 is not available for Python in this term.",Correct,,,,
does DBMS course have a quiz 2?,"No, the Database Management System (DBMS) course does have a Quiz 2.

According to the information for the DBMS course:

Quiz 1: July 13, 2025
Quiz 2: August 03, 2025
Both quizzes are objective and have to be attended in person at designated TCS centres.",Correct,,,,
What is the syllabus for DBMS course?,**Grading doc**,Correct,,,,
when will the next registration open for qualifier,"The exact dates for the next registration window for the Qualifier exam are not mentioned in the provided documents.

However, the Qualifier exam is conducted twice per term:

After Week 4 of the 4-week Qualifier Process
After Week 8 (second attempt)
You can prepare by accessing the Week 1 content available on the website and keep an eye on official announcements for opening of registration.

To get the most accurate and updated information about qualifier registration dates, please regularly check the official program website or announcements made via email or WhatsApp once you have registered.

Summary:

Qualifier exam registration happens every term.
Two Qualifier exam attempts per term: after Week 4 and Week 8.
Stay updated via official channels for registration opening announcements.
If you want, I can help you find links or contacts to keep track of announcements.",Correct,,,,
What is the syllabus for DBMS course?,**Grading doc**,Correct,,,,
grading policy for python,***Policy given***,Correct,,,,
Is there a scholarship option available?,"Yes, there are scholarship options available in the form of fee waivers based on category and family income. Here are the details:

Fee Waivers Based on Category and Income
Category	Family Income > 5 LPA	Income >1 LPA and <= 5 LPA	Income <= 1 LPA
General	Full Fee (No documents required)	50% waiver (EWS + Income proof)	75% waiver (EWS + Income proof)
OBC	Full Fee (No documents required)	50% waiver (OBC-NCL + Income proof)	75% waiver (OBC-NCL + Income proof)
SC / ST	50% waiver (SC/ST proof)	50% waiver (SC/ST proof)	75% waiver (SC/ST + Income proof)
PwD	50% waiver (PwD proof)	50% waiver (PwD proof)	75% waiver (PwD + EWS/OBC-NCL + Income proof)
SC/ST + PwD	75% waiver (proof)	75% waiver (proof)	75% waiver (proof)
Suitable fee waivers are also available for the Qualifier exam fees for SC/ST and PwD categories.
The fee waivers require submission of relevant proofs for category and income where applicable.
If you belong to any of these categories or meet the income criteria, you can avail of these waivers which effectively act as scholarships.

For more details, you may contact the program coordinators or refer to the fee waiver section in the program documents.",Correct,,,,
About fees structure,***Policy given***,Correct,,,,
Eligibility criteria to appear for the end-term exam.,***Policy given***,Correct,,,,
Quiz 2 is there for Stats 2,"Yes, Quiz 2 is scheduled for the course ""Statistics for Data Science 2.""

Quiz 2 Date: August 03, 2025
End term exam date: August 31, 2025
Both are to be attended in person at designated centres.
Eligibility to write the final exam requires:

An average of the best 5 out of the first 7 weeks of weekly assignment scores >= 40/100
Attendance in one of the 2 quizzes (Quiz 1 or Quiz 2)
The final course score T is calculated as follows for eligible students:

GAA = Average score in First 10 weekly graded assignments
Qz1 = score in Quiz I (0, if not attempted)
Qz2 = score in Quiz II (0, if not attempted)
F = score in final exam
Bonus marks for Extra activity (capped to 5)
Formula:
T = 0.1GAA + max (0.6F + 0.2max(Qz1, Qz2), 0.4F + 0.2Qz1 + 0.3Qz2) + Bonus marks for Extra activity

Bonus marks details:

Total 5 marks: 3.75 marks for weekly extra activity + 1.25 marks based on quality (faculty discretion)
Peer review is required for extra activity submission.

So, Quiz 2 for Statistics 2 is indeed scheduled and is part of eligibility and grading.",Correct,,,,
What is the eligibility criteria to apply for BS Degree,***Policy given***,Correct,,,,
syllabus for python,"The syllabus for the course ""Intro to Python Programming"" as part of the BS in Data Science and Applications (May 2025 term) is covered over the term weeks and assessed through various assignments, quizzes, and programming exams.

While the exact detailed syllabus topics are not explicitly listed in the available documents, here is the assessment and exam schedule and academic policies related to the Python course which give an idea about the course structure and evaluation:

Assessment and Exam Schedule for ""Intro to Python Programming"":
Quiz 1: July 13, 2025 (In-person at designated centres)
Quiz 2: Not applicable
End Term Exam: August 31, 2025 (In-person at designated centres)
Online Proctored Programming Exams (OPPE):
OPPE1: July 20, 2025
OPPE2: August 24, 2025
Possible additional OPPE dates: August 27, 28 (7 PM to 9 PM)
Eligibility Criteria:
Eligibility for appearing in OPPE1 and OPPE2 requires completing a System Compatibility Test (SCT) for OPPE.
To appear for OPPE1, students must score at least 40/100 in Grading Programming Assignments (GrPA) in weeks 1 to 4.
To appear for OPPE2, students must score at least 40/100 in GrPA in weeks 5 to 8 and have an average of best 5 out of 7 weekly assessments ≥ 40/100.
Eligibility for the end term exam requires average of best 5 out of the first 7 weekly assessments ≥ 40/100.
To obtain the course grade, students must attend the end term exam and score at least 40/100 in one of the two programming exams (OPPE1/OPPE2).
Academic Policies:
Taking help from Large Language Models (LLMs) such as ChatGPT or Gemini in programming assignments is considered plagiarism and a violation of the honour code.
Assignments are expected to be done individually based on one's understanding.
Sharing assignments before deadlines is prohibited.
Evaluation Formula for Final Course Score (T):
GAA1 = Average score of objective assignments (first 10 weeks)
GAA2 = Average score of programming assignments (first 10 weeks)
Qz1 = Score in Quiz 1
PE1 = Score in OPPE1
PE2 = Score in OPPE2
F = Score in final end term exam
Final score:

T = 0.1 * GAA1 + 0.1 * GAA2 + 0.1 * Qz1 + 0.4 * F + 0.25 * max(PE1, PE2) + 0.15 * min(PE1, PE2)
Further details:
Students will be allocated specific slots for OPPE exams depending on their eligibility.
The SOP for the OPPE System Compatibility Test (SCT) is provided in a linked document.
Students should keep the dates for quizzes and exams free.
Weekly assignments and quizzes up to week 10 contribute to eligibility and grading.",Correct,,,,
What are the eligibility criteria for the Data Science course?,***Policy given***,Correct,,,,
how will i get the important links for online exams,"For online exams in your courses, you can access the necessary links as follows:

Exam Portal Link:
The main exam portal for Online Proctored Programming Exams (OPPE) is
https://study.iitm.ac.in/ds/exam.html

OPPE System Compatibility Test (SCT):
Before appearing for OPPE, you must complete the mandatory SCT to ensure your system is compatible.

Upload your mobile phone position photo here for the first SCT window:
https://forms.gle/prerG5DyxY453dM88
If rejected, upload photo for SCT Window-2 here:
https://forms.gle/LEWvY7K4rZntM5sp6
For technical issues during SCT related to exam portal login, fill this form:
https://forms.gle/3LAQigV5W4eG2q8j9
SCT guidelines document:
SCT Guideline
Please follow the instructions carefully for mobile positioning and login checks as given by the BS (Basic Services) team.

Ensure you complete the SCT within the specified windows to be eligible for the OPPE exams.

If you face any technical issues or need further support, contact your instructor or TA during the support meet times.

Summary of Important Links:

Purpose	Link
OPPE Exam Portal	https://study.iitm.ac.in/ds/exam.html
SCT Photo Upload (Window 1)	https://forms.gle/prerG5DyxY453dM88
SCT Photo Upload (Window 2)	https://forms.gle/LEWvY7K4rZntM5sp6
Technical Issue Form during SCT	https://forms.gle/3LAQigV5W4eG2q8j9
SCT Guidelines Document	SCT Guideline
Make sure to keep track of your exam dates and complete all pre-exam requirements timely.",Correct,,,,
can i take gen ai course and project in this may term?,Incorrrect information,Incorrect,,,,
When will i get my student mail id,"You will receive your student mail ID (roll_number@ds.study.iitm.ac.in) once you clear the qualifier exam, register for the Foundation level, upload the required documents, and get them approved. At that point, you will be given the official email ID for all interactions on the portal, including login, accessing the learner dashboard, and courses.",Correct,,,,
"Tell me about BS online degree programme
",**Policy given**,Correct,,,,
What is the Eligibility criteria to opt DL+ GenAI in Diploma level?,No information,Incorrect,,,,
"How the project marks are factored into the overall CGPA. Are they added cumulatively at the end of the year, or are they reflected in each term individually?",,,,,,
What is the procedure for allocation of the exam centre and city?,**Policy given**,Correct,,,,
Diploma level in BS data science,**Policy given**,Correct,,,,
when will i get the refund of my exam fee,**Policy given**,Correct,,,,
